=== DATASET RECORD ===
Title:          pub:WHSE_BASEMAPPING.TRIM_WATER_POINTS
Dataset ID:     pub:WHSE_BASEMAPPING.TRIM_WATER_POINTS
Source:         WFS
Fetched:        2026-04-05
Feature Count:  186
Geometry Types: Point
Coverage Area:  Ucluelet, BC region
Bounding Box:   W=-125.656074 S=48.872391 E=-125.403278 N=48.999053
Coordinate System: WGS84 (EPSG:4326)

=== ATTRIBUTE SCHEMA ===
  fcode: categorical | values: GC90100000, GC90200000, GE94850000, HA33100000, HB27550000
  elevation: numeric | range 0.00 to 57.00 | mean 6.01
  rotation: numeric | range 0.00 to 75.00 | mean 0.40
  admit year: numeric | range 0.00 to 0.00 | mean 0.00
  admit mnth: numeric | range 0.00 to 0.00 | mean 0.00
  admit day: numeric | range 0.00 to 0.00 | mean 0.00
  asrc year: numeric | range 0.00 to 0.00 | mean 0.00
  asrc mnth: numeric | range 0.00 to 0.00 | mean 0.00
  asrc day: numeric | range 0.00 to 0.00 | mean 0.00
  admit rfc: categorical | values: additionNew
  admit srel: categorical | values:  
  admit rkey: categorical | values:  
  retir year: numeric | range 0.00 to 0.00 | mean 0.00
  retir mnth: numeric | range 0.00 to 0.00 | mean 0.00
  retir day: numeric | range 0.00 to 0.00 | mean 0.00
  rsrc year: numeric | range 0.00 to 0.00 | mean 0.00
  rsrc mnth: numeric | range 0.00 to 0.00 | mean 0.00
  rsrc day: numeric | range 0.00 to 0.00 | mean 0.00
  retir rfc: categorical | values:  
  retir srel: categorical | values:  
  retir rkey: categorical | values:  
  x level: categorical | values: levelOne
  x reason: categorical | values: AA
  x capture: categorical | values: photogrammetric
  bcgs tile: categorical | values: 092C083, 092C092, 092C093
  source id: text | 186 unique values | sample: 092C083TWTR1, 092C083TWTR10, 092C083TWTR11, 092C083TWTR12, 092C083TWTR13...

=== SPATIAL SUMMARY ===
Total features in Ucluelet area: 186
  Point: 186 features
Approximate centre: 48.9274°N, -125.5138°W

=== FEATURE DESCRIPTIONS ===
Dataset has 186 features. Describing a representative sample of 186:

Feature 113 from 'pub:WHSE_BASEMAPPING.TRIM_WATER_POINTS', located at approximately 48.9118°N, -125.5143°W. fcode: GE94850000 | elevation: 4 | rotation: 0 | admit year: 0 | admit mnth: 0 | admit day: 0 | asrc year: 0 | asrc mnth: 0 | asrc day: 0 | admit rfc: additionNew | retir year: 0 | retir mnth: 0 | retir day: 0 | rsrc year: 0 | rsrc mnth: 0 | rsrc day: 0 | x level: levelOne | x reason: AA | x capture: photogrammetric | bcgs tile: 092C093 | source id: 092C093TWTR51
Feature 164 from 'pub:WHSE_BASEMAPPING.TRIM_WATER_POINTS', located at approximately 48.9541°N, -125.5934°W. fcode: GE94850000 | elevation: 4 | rotation: 0 | admit year: 0 | admit mnth: 0 | admit day: 0 | asrc year: 0 | asrc mnth: 0 | asrc day: 0 | admit rfc: additionNew | retir year: 0 | retir mnth: 0 | retir day: 0 | rsrc year: 0 | rsrc mnth: 0 | rsrc day: 0 | x level: levelOne | x reason: AA | x capture: photogrammetric | bcgs tile: 092C093 | source id: 092C093TWTR3
Feature 169 from 'pub:WHSE_BASEMAPPING.TRIM_WATER_POINTS', located at approximately 48.9577°N, -125.6069°W. fcode: GE94850000 | elevation: 4 | rotation: 0 | admit year: 0 | admit mnth: 0 | admit day: 0 | asrc year: 0 | asrc mnth: 0 | asrc day: 0 | admit rfc: additionNew | retir year: 0 | retir mnth: 0 | retir day: 0 | rsrc year: 0 | rsrc mnth: 0 | rsrc day: 0 | x level: levelOne | x reason: AA | x capture: photogrammetric | bcgs tile: 092C092 | source id: 092C092TWTR9
Feature 101 from 'pub:WHSE_BASEMAPPING.TRIM_WATER_POINTS', located at approximately 48.9040°N, -125.5121°W. fcode: GE94850000 | elevation: 3 | rotation: 0 | admit year: 0 | admit mnth: 0 | admit day: 0 | asrc year: 0 | asrc mnth: 0 | asrc day: 0 | admit rfc: additionNew | retir year: 0 | retir mnth: 0 | retir day: 0 | rsrc year: 0 | rsrc mnth: 0 | rsrc day: 0 | x level: levelOne | x reason: AA | x capture: photogrammetric | bcgs tile: 092C093 | source id: 092C093TWTR85
Feature 100 from 'pub:WHSE_BASEMAPPING.TRIM_WATER_POINTS', located at approximately 48.9037°N, -125.5144°W. fcode: GE94850000 | elevation: 3 | rotation: 0 | admit year: 0 | admit mnth: 0 | admit day: 0 | asrc year: 0 | asrc mnth: 0 | asrc day: 0 | admit rfc: additionNew | retir year: 0 | retir mnth: 0 | retir day: 0 | rsrc year: 0 | rsrc mnth: 0 | rsrc day: 0 | x level: levelOne | x reason: AA | x capture: photogrammetric | bcgs tile: 092C093 | source id: 092C093TWTR83
Feature 15 from 'pub:WHSE_BASEMAPPING.TRIM_WATER_POINTS', located at approximately 48.8982°N, -125.4334°W. fcode: GE94850000 | elevation: 1 | rotation: 0 | admit year: 0 | admit mnth: 0 | admit day: 0 | asrc year: 0 | asrc mnth: 0 | asrc day: 0 | admit rfc: additionNew | retir year: 0 | retir mnth: 0 | retir day: 0 | rsrc year: 0 | rsrc mnth: 0 | rsrc day: 0 | x level: levelOne | x reason: AA | x capture: photogrammetric | bcgs tile: 092C083 | source id: 092C083TWTR23
Feature 177 from 'pub:WHSE_BASEMAPPING.TRIM_WATER_POINTS', located at approximately 48.9783°N, -125.6237°W. fcode: GE94850000 | elevation: 1 | rotation: 0 | admit year: 0 | admit mnth: 0 | admit day: 0 | asrc year: 0 | asrc mnth: 0 | asrc day: 0 | admit rfc: additionNew | retir year: 0 | retir mnth: 0 | retir day: 0 | rsrc year: 0 | rsrc mnth: 0 | rsrc day: 0 | x level: levelOne | x reason: AA | x capture: photogrammetric | bcgs tile: 092C092 | source id: 092C092TWTR5
Feature 35 from 'pub:WHSE_BASEMAPPING.TRIM_WATER_POINTS', located at approximately 48.9015°N, -125.5024°W. fcode: GE94850000 | elevation: 3 | rotation: 0 | admit year: 0 | admit mnth: 0 | admit day: 0 | asrc year: 0 | asrc mnth: 0 | asrc day: 0 | admit rfc: additionNew | retir year: 0 | retir mnth: 0 | retir day: 0 | rsrc year: 0 | rsrc mnth: 0 | rsrc day: 0 | x level: levelOne | x reason: AA | x capture: photogrammetric | bcgs tile: 092C093 | source id: 092C093TWTR91
Feature 119 from 'pub:WHSE_BASEMAPPING.TRIM_WATER_POINTS', located at approximately 48.9138°N, -125.5152°W. fcode: GE94850000 | elevation: 4 | rotation: 0 | admit year: 0 | admit mnth: 0 | admit day: 0 | asrc year: 0 | asrc mnth: 0 | asrc day: 0 | admit rfc: additionNew | retir year: 0 | retir mnth: 0 | retir day: 0 | rsrc year: 0 | rsrc mnth: 0 | rsrc day: 0 | x level: levelOne | x reason: AA | x capture: photogrammetric | bcgs tile: 092C093 | source id: 092C093TWTR43
Feature 152 from 'pub:WHSE_BASEMAPPING.TRIM_WATER_POINTS', located at approximately 48.9333°N, -125.5443°W. fcode: GE94850000 | elevation: 3 | rotation: 0 | admit year: 0 | admit mnth: 0 | admit day: 0 | asrc year: 0 | asrc mnth: 0 | asrc day: 0 | admit rfc: additionNew | retir year: 0 | retir mnth: 0 | retir day: 0 | rsrc year: 0 | rsrc mnth: 0 | rsrc day: 0 | x level: levelOne | x reason: AA | x capture: photogrammetric | bcgs tile: 092C093 | source id: 092C093TWTR30
Feature 24 from 'pub:WHSE_BASEMAPPING.TRIM_WATER_POINTS', located at approximately 48.9017°N, -125.5157°W. fcode: GE94850000 | elevation: 5 | rotation: 0 | admit year: 0 | admit mnth: 0 | admit day: 0 | asrc year: 0 | asrc mnth: 0 | asrc day: 0 | admit rfc: additionNew | retir year: 0 | retir mnth: 0 | retir day: 0 | rsrc year: 0 | rsrc mnth: 0 | rsrc day: 0 | x level: levelOne | x reason: AA | x capture: photogrammetric | bcgs tile: 092C093 | source id: 092C093TWTR75
