id,title,notes,organization,formats,tags,wfs_url,download_url,has_wfs,license,metadata_modified
soil-parent-materials,Soil Parent Materials,"The Soils Parent Materials raster prediction surface was crated using a Random Forest classifier trained with single component polygons from soils, terrain and ecosystem  mapping projects, and 18 topographic predictor layers derived from the provincial 25m DEM. It is a prediction of mode of deposition of the soils parent material. The model was run by Ecoprovince and also enforced topographic constraints on some materials. The results of the Ecoprovince models were compiled into a provincial ras",Knowledge Management,"ZIP, ARCGIS_REST","BC Soils, Soil, Surficial geology, parent material, sediments, unconsolidated",,,False,Open Government Licence - British Columbia,2024-10-09T23:01:12.655709
soil-mapping-data-packages,Soil Mapping Data Packages,"These Soil Mapping Data Packages include 

1. a Soil Map dataset which includes the equivalents to [Soil Project Boundaries](https://catalogue.data.gov.bc.ca/dataset/soil-mapping-soil-project-boundaries), [Soil Survey Spatial View](https://catalogue.data.gov.bc.ca/dataset/soil-survey-spatial-view) mapping polygons with attributes from the [Soil Name and Layer Files](https://catalogue.data.gov.bc.ca/dataset/soil-name-and-layer-files), plus 
+ A Soil Site dataset which includes soil pit site in",Knowledge Management,"SHP, KMZ, FGDB","BCSIS, Soil pit descriptions, soil, soil capability, soil horizon, soil mapping, soil name, soil pits, soil sites",,http://www.env.gov.bc.ca/esd/distdata/ecosystems/Soil_Data/Soil_Data_Pkgs/,False,Open Government Licence - British Columbia,2026-03-05T20:11:14.737161
soil-survey-spatial-view,Soil Survey Spatial View,"Soil Survey polygons contain soils spatial and attribute information utilized by the Ministry of Environment online Soil Information Finder Tool ([SIFT](http://www2.gov.bc.ca/gov/content/environment/air-land-water/land/soil-information-finder)). The information pertains to soil survey data in the Province of British Columbia, as well as links to a variety of reports and maps. Polygons related to soil surveys can be made up of a complex of up to 3 components representing 3 different soil types. T",Knowledge Management,"MULTIPLE, KML, SHP, WMS","TEI, inventory, soil, soil classification, soil description, soil drainage, soil horizon, soil inventory, soil map, soil maps, soil name, soil survey, soil texture, soils, soils inventory, soils maps, soils survey, survey",,http://www.env.gov.bc.ca/esd/distdata/ecosystems/Soil_Data/Soil_Data_Pkgs/,False,Open Government Licence - British Columbia,2026-03-14T12:47:15.625243
soil-survey-project-boundaries,Soil Survey Project Boundaries,"Soil Survey Project Boundaries (soil mapping study areas) contains the soil survey project area and attributes describing each project (project level metadata), plus links to the locations of other data associated with the project (e.g., soil survey reports, polygon datasets, plotfiles, scanned maps, legends). Soil Mapping divides the landscape into units according to soil association, name, type, drainage, parent material, and texture. This layer is derived from the STE_TEI_PROJECT_BOUNDARIES_S",Knowledge Management,"MULTIPLE, KML, WMS, XLSX","BGC, Canada, DTEIF, Drainage, PEM, SEI, STE, STEWI, TEI, TEIS, TEM, TER, TSM, WHR, biogeoclimatic, bioterrain, bioterrain mapping, describing terrestrial ecosystems, ecology, ecosystem, ecosystem mapping, ecosystem modelling, erosion, landslide, predictive ecosystem mapping, sedimentation, sensitive ecosystem, sensitive ecosystems inventory, slope stability, soil, terrain, terrain and ecosystems, terrain inventory mapping, terrain mapping, terrain stability, terrain stability mapping, terrestrial ecosystem mapping, wildlife habitat rating, wildlife inventory",,,False,Open Government Licence - British Columbia,2024-10-07T18:34:16.876207
soil-relocation-source-sites,Soil Relocation Source Sites,A feature layer containing geographic features about the source sites of the relocated soil based on the information submitted through the Soil Relocation Notification form.,Authorizations and Remediation,"ARCGIS_REST, OTHER","British Columbia, Canada, SRIS, Soil Relocation, Soil Relocation Information, Soil Relocation Information System, soil relocation notification, soil relocation source site, source site",,,False,Access Only,2024-08-13T22:22:32.124814
soil-relocation-receiving-sites,Soil Relocation Receiving Sites,A point dataset containing geographic features on the sites where soil has been relocated based on the information submitted through the Soil Relocation Notification form.,Authorizations and Remediation,"ARCGIS_REST, OTHER","British Columbia, Canada, Soil Relocation, Soil Relocation Information, Soil Relocation Information System, receiving site, soil relocation notification, soil relocation receiving site",,,False,Access Only,2024-08-13T22:23:35.732156
soil-name-and-layer-files,Soil Name and Layer Files,"The Soil Name and Layer Files contain attribute information for all B.C. named soils and their soil layers as contained in the National Soil DataBase (NSDB). The Soil Name File contains the general physical and chemical characteristics for soils including soil name, soil code, surficial material, water table characteristics, root restricting layer, soil drainage, parent material texture, chemical properties, position in the landscape, mode of deposition, and soil classification. The Soil Layer F",Knowledge Management,CSV,"BC Soils, BCSIS, CEC, Cation Exhange Capacity, Soil, Soil Survey, Soil pH, Soil properties, TEI, coarse fragment, drainage, soil, soil horizon, soil layer, soil name, soil texture",,,False,Open Government Licence - Canada,2018-11-27T19:10:02.330830
lillooet-lrmp-soil-arability-point-data,Lillooet LRMP Soil Arability - Point data,"Soil Sample Plot Locations.  The Lillooet LRMP Arability Project was undertaken to determine the potential arability of Crown-owned Agricultural Land Reserve (ALR) lands within the Lillooet Land and Resource Management Plan (LRMP) area.
 
The dataset is for identifying the location and extent of Crown ALR lands that are potentially arable as well as identifying their limitations, if any, for various agricultural uses.",Extension and Support Services,ORACLE_SDE,"Lillooet, arability, soil",,,False,Access Only,2022-10-13T22:17:51.864714
lillooet-lrmp-soil-arability-polygon-data,Lillooet LRMP Soil Arability - Polygon data,"Arability Classification Polygons.  The Lillooet LRMP Arability Project was undertaken to determine the potential arability of Crown-owned Agricultural Land Reserve (ALR) lands within the Lillooet Land and Resource Management Plan (LRMP) area.
 
The dataset is for identifying the location and extent of Crown ALR lands that are potentially arable as well as identifying their limitations, if any, for various agricultural uses.",Extension and Support Services,ORACLE_SDE,"Lillooet, arability, soil",,,False,Access Only,2022-10-13T22:15:11.171521
soils-information-finder-tool-sift-map-application,Soils Information Finder Tool (SIFT) Map Application,"The BC Soil Information Finder tool or SIFT is an interactive mapping application that provides easy access to soil survey maps, soil attributes, and agriculture capability mapping in British Columbia. The data comes from the [Soil Survey Spatial View](https://catalogue.data.gov.bc.ca/dataset/20150a67-5a2d-425f-8216-ff0f97f68df9), the [Soil Project Boundaries](https://catalogue.data.gov.bc.ca/dataset/427a0008-bcf8-48eb-b9e8-ef43f390c9ad), the [Soil Name and Layer Files](https://catalogue.data.go",Knowledge Management,OTHER,"AGO, AGOL, ArcGIS Online, BC Soils, SIFT, Soil Survey, TEI, agricultural capability, arcGIS online, interactive map, inventory, soil, soil classification, soils, survey",,,False,Access Only,2026-03-04T19:56:38.987354
soil-erosion-potential-haslam-lake-and-lang-creek,Soil Erosion Potential - Haslam Lake and Lang Creek,Soil Erosion Potential for the Haslam Lake and Lang Creek in the Lower Mainland Region. March 1997 data.,Regional Operations - South Coast,ORACLE_SDE,"BC, Haslam Lake, Lang Creek, Lower Mainland Region, Surrey, erosion, inventory, land use, natural resource, soil",,,False,Access Only,2022-01-13T01:41:05.707947
ecological-catalogue-formerly-aquacat,Ecological Catalogue (formerly AquaCat),"A compendium of reports that provide information about aquatic and terrestrial animals and plants, soils, surface water, groundwater and their accompanying data files and maps",Knowledge Management,"MULTIPLE, KML, WMS","AquaCat, EcoCat, aquatic report, groundwater report, inventory, soil, survey, terrestrial report, water report",,,False,Open Government Licence - British Columbia,2026-03-20T12:41:13.936824
terrestrial-ecosystem-information-scanned-map-boundary,Terrestrial Ecosystem Information Scanned Map Boundary,"STE_SCANNED_MAP_BOUNDARY_SP includes an index of the mapsheet grid location of Soils, Terrain, Ecosystems and related scanned maps (including Agriculture Capability and Climate Capability maps). These maps are intended for on-screen viewing or printing. The majority of the maps have been geo-referenced. Mapping may not cover the whole map grid area. Some maps are interim or draft and may have been superseded. Some files are of related legends and map project text. Associated scanned map boundary",Knowledge Management,"MULTIPLE, KML, WMS","Canada, Drainage, STE, TEI, TER, TSM, agriculture capability, climate capability, ecology, ecosystem, ecosystem mapping, effluent absorption, erosion, landslide, slope, soil, soil capability, soil classification, soil suitability, terrain, terrain and ecosystems, terrain inventory, terrain mapping, terrain stability, terrestrial ecosystem mapping",,,False,Open Government Licence - British Columbia,2023-06-29T14:21:34.063828
terrestrial-ecosystem-information-project-scanned-map-boundary,Terrestrial Ecosystem Information Project Scanned Map Boundary,"STE_PRJ_SCANNED_MAP_BNDRY_SVW includes an index of the mapsheet grid location of Soils, Terrain, and Ecosystems projects. These maps are intended for on-screen viewing or printing. The majority of the maps have been geo-referenced. Project mapping may not cover the whole map grid area. Some maps are interim or draft and may have been superseded. Some files are of related legends and map project text. Associated scanned map boundary attributes describe the project map (project level metadata) and",Knowledge Management,"MULTIPLE, KML, WMS","Canada, Drainage, STE, TEI, TER, TSM, agriculture capability, climate capability, ecology, ecosystem, ecosystem mapping, effluent absorption, erosion, landslide, slope, soil, soil capability, soil classification, soil suitability, terrain, terrain and ecosystems, terrain inventory, terrain mapping, terrain stability, terrestrial ecosystem mapping",,,False,Access Only,2023-06-29T14:16:31.389552
terrestrial-ecosystem-information-tei-detailed-polygons-with-short-table-attribute-table,Terrestrial Ecosystem Information (TEI) Detailed Polygons with Short Table Attribute Table,"STE_TEI_ATTRIBUTE_POLYS_SP contains Terrestrial Ecosystem Information (TEI) polygons with key and amalgamated (concatenated) attributes derived from the RISC (Resource Inventory Standards Committee) standard attributes. These describe the physical and biological characteristics of ecosystems at a landscape level. TEI currently includes Terrestrial Ecosystem Mapping (TEM), Predictive Ecosystem Mapping (PEM), Sensitive Ecosystems Inventory (SEI), Terrain Mapping (TER) and Soil Mapping (SOIL). Mapp",Knowledge Management,"MULTIPLE, XLSX, FGDB","BGC, Canada, DTEIF, Drainage, PEM, SEI, STE, STEWI, TEIS, TEM, TER, TSM, WHR, biogeoclimatic, bioterrain, bioterrain mapping, describing terrestrial ecosystems, ecology, ecosystem, ecosystem mapping, ecosystem modelling, erosion, landslide, predictive ecosystem mapping, sedimentation, sensitive ecosystem, sensitive ecosystem inventory, slope stability, soil, terrain, terrain and ecosystems, terrain mapping, terrain stability, terrain stability mapping, terrestrial ecosystem mapping, wildlife habitat rating, wildlife inventory",,,False,Open Government Licence - British Columbia,2024-10-07T18:36:48.819383
terrestrial-ecosystem-information-project-boundaries,Terrestrial Ecosystem Information Project Boundaries,"Terrestrial Ecosystem Information Project Boundaries contains boundaries (study areas) and attributes describing each project (project level metadata), plus links to the locations of other data associated with the project (e.g., reports, polygon datasets, plotfiles, legends). TEI inventories describe the physical and biological attributes of ecosystems. TEI currently includes Terrestrial Ecosystem Mapping (TEM), Predictive Ecosystem Mapping (PEM), Sensitive Ecosystems Inventory (SEI), Terrain Ma",Knowledge Management,"MULTIPLE, XLSX, FGDB","BGC, Canada, DTEIF, Drainage, PEM, SEI, STE, STEWI, TEIS, TEM, TER, TSM, WHR, biogeoclimatic, bioterrain, bioterrain mapping, describing terrestrial ecosystems, ecology, ecosystem, ecosystem mapping, ecosystem modelling, erosion, landslide, predictive ecosystem mapping, sedimentation, sensitive ecosystem, sensitive ecosystems inventory, slope stability, soil, terrain, terrain and ecosystems, terrain mapping, terrain stability, terrain stability mapping, terrestrial ecosystem mapping, wildlife habitat rating, wildlife inventory",,,False,Open Government Licence - British Columbia,2024-10-07T18:30:27.225227
predictive-ecosystem-mapping-pem-detailed-polygons-with-short-attribute-table-20-000-spatial-view,"Predictive Ecosystem Mapping (PEM) Detailed Polygons with Short Attribute Table -20,000 Spatial View","This dataset is not currently available in the BCGW but may be downloaded in geodatabase format. Please refer to: Terrestrial Ecosystem Information (TEI) Data Distribution Packages.   
PEM_20K contains 1 to 20,000 PEM polygons with key and amalgamated (concatenated) attributes derived from the Resource Inventory Standards Committee (RISC) standard attributes. PEM divides the landscape into units according to a variety of ecological features including climate, physiography, surficial material, b",Knowledge Management,FGDB,"BGC, Canada, DTEIF, Drainage, PEM, SEI, STE, STEWI, TEIS, TEM, TER, TSM, WHR, biogeoclimatic, bioterrain, bioterrain mapping, describing terrestrial ecosystems, ecology, ecosystem, ecosystem mapping, ecosystem modelling, erosion, landslide, predictive ecosystem mapping, sedimentation, sensitive ecosystem, sensitive ecosystems inventory, slope stability, soil, terrain, terrain and ecosystems, terrain mapping, terrain stability, terrain stability mapping, terrestrial ecosystem mapping, wildlife habitat rating, wildlife inventory",,,False,Access Only,2022-09-29T16:32:51.271642
